30404537,0,41,1,1,1,1,1,121,0,P20180524+PPA2,15000101,0,0,0
12,0,99,1,1,1,1,1,121,0,P20180524+PPA2,15000101,0,0,0
3040412,3,3,3,3,3,1,1010,121,1,Quee,15000101,0,0,0
30404133,1,43,2,3,4,5,6,121,0,P20180524+PPA2,15000101,0,0,0
55,0,41,1,1,1,1,1,121,0,P20180524+PPA2,15000101,0,0,0
56,0,5,1,1,1,1,1,121,0,P20180524+PPA2,15000101,0,0,0
57,3,3,3,3,3,1,1010,121,1,Quee,15000101,0,0,0
58,1,43,2,3,4,5,6,121,0,P20180524+PPA2,15000101,0,0,0
53,0,41,1,1,1,1,1,121,0,P20180524+PPA2,15000101,0,0,0
54,0,5,1,1,1,1,1,121,0,P20180524+PPA2,15000101,0,0,0
52,0,41,1,1,1,1,1,121,0,P20180524+PPA2,15000101,0,0,0
